Özellik,F,p
Fwd IAT Std,244436.54567977463,0.0
Bwd Packet Length Std,238331.9050924106,0.0
Bwd Packet Length Mean,237250.24376587823,0.0
Avg Bwd Segment Size,237250.2437658341,0.0
Bwd Packet Length Max,227096.50538489496,0.0
Idle Min,201148.4438478987,0.0
Idle Mean,199892.61004559352,0.0
Packet Length Std,194438.0226933118,0.0
Idle Max,185697.74119337596,0.0
Flow IAT Max,179270.03843119164,0.0
Fwd IAT Max,178271.23456089295,0.0
Max Packet Length,175612.20925694756,0.0
Average Packet Size,153832.80477765098,0.0
Packet Length Mean,151901.4068558346,0.0
Packet Length Variance,142491.64057185143,0.0
Flow IAT Std,109969.12183636351,0.0
Fwd IAT Total,53049.21195971833,0.0
FIN Flag Count,52614.32417699292,0.0
Flow Duration,52361.16651038482,0.0
Bwd IAT Std,28315.735504757675,0.0
Flow IAT Mean,27667.678284024223,0.0
PSH Flag Count,25250.491781305973,0.0
tcp_win_seen_forward,23395.16410990574,0.0
tcp_win_seen_backward,21827.77142233358,0.0
Fwd IAT Mean,21470.17866561241,0.0
Bwd IAT Max,20164.20405659966,0.0
min_seg_size_forward,17659.03107693335,0.0
Active Min,17052.63472492029,0.0
Active Mean,15977.0687096026,0.0
Min Packet Length,15222.385859527722,0.0
Bwd Packet Length Min,13652.745430519397,0.0
Flow IAT Min,10763.290625314894,0.0
ACK Flag Count,10317.068946587835,0.0
Idle Std,8283.288055159717,0.0
Active Max,8003.113920067206,0.0
Bwd IAT Mean,7773.116711629925,0.0
Active Std,6932.629266751313,0.0
Init_Win_bytes_forward,6560.21004719907,0.0
Destination Port,5874.2851967033785,0.0
Bwd IAT Total,5592.420683091612,0.0
Bwd IAT Min,4826.444049320772,0.0
Bwd Packets/s,4679.708758482237,0.0
Fwd IAT Min,4478.071809669279,0.0
URG Flag Count,4111.073151087723,0.0
Subflow Fwd Bytes,3391.7955181000866,0.0
Total Length of Fwd Packets,3382.452364446999,0.0
Down/Up Ratio,3371.053172931693,0.0
Fwd Packet Length Min,3299.0895331910133,0.0
Init_Win_bytes_backward,2924.5687356898816,0.0
Fwd PSH Flags,2913.7520653286383,0.0
SYN Flag Count,2913.7520653286383,0.0
Fwd Packet Length Max,1727.5495846099425,0.0
Avg Fwd Segment Size,1663.6000180324918,0.0
Fwd Packet Length Mean,1663.6000180324918,0.0
Flow Packets/s,1495.2635257742247,0.0
Fwd Packet Length Std,1436.0209004857759,0.0
Fwd Packets/s,1197.264030727566,0.0
Flow Bytes/s,89.4289744865914,1.3271997628326702e-258
Fwd Header Length,24.28557100114595,5.198321743934827e-64
Subflow Fwd Packets,13.030151344312666,2.093852541054838e-31
Total Fwd Packets,13.030151344312666,2.093852541054838e-31
Bwd Header Length,10.569482111213881,1.830984352861663e-24
ECE Flag Count,10.004170487837744,6.919007924599308e-23
RST Flag Count,9.960596696980202,9.147491643400944e-23
Subflow Bwd Bytes,8.126240168367174,1.0380471172806928e-17
Total Length of Bwd Packets,8.126074190723585,1.0391288642114512e-17
Total Backward Packets,6.145128861189042,2.1210997268512526e-12
Subflow Bwd Packets,6.145128861189042,2.1210997268512526e-12
act_data_pkt_fwd,5.324807626158452,2.8658536649054557e-10
CWE Flag Count,1.1612496165273,0.29790443990871085
Fwd URG Flags,1.1612496165273,0.29790443990871085
